tweet,label
i am a proud igbo girl ọ dị nọbara m i am unashamed of my heritage anyị agaghị atụ ụjọ anyị jụrụ ịbụ onye a naemegbu,1
allah ya kaimu aljannah mu hada arewaaljannah connect youll be the special guest then insha allahu,0
update first dance video for this year drops tomorrow pm nigerian time i wish i could drop it now sef but we wait leggo,2
oluwa a pano mo ase mo fẹ́ dé ọ̀dọ̀ ìbátan mi ní ìlú ìbíní pàá,3
i follow back ndi imo ndewo,1
happy easter chukwu agozigo gi,1
owó yapa gt,3
well im here im back im taking over i dont drink i dont smoke,2
na who chop the spag after una do the artwork finish song is too bop,2
allah biya dai,0
mo kí kú àyájọ́ ọdún kẹrìnlá o àṣèyí ṣàmọ́dún o,3
send me your account number make i wire the balance wey i wan give you for my show wey you come yesterday,2
ugwuanyi ezigbo mmadu,1
yummii emma dey room dey wait for you o,2
ire gbogbo a kàṣàì tọ̀ mí wá ire gbogbo,3
thank you onye nkuzi daalu,1
dịka ị naecheta ụbọchị ọmụmụ gị taa ekpere m nisi gị bu ka chukwu okike abiama gbaziere gị ụzọ ma nonye kwara gị ugbua na mgbe niile happy birthday nne chukwu gozie gị rinne,1
ko se tuwo rara rt oluwa lo se eyi fun wa ki eda kan ma tuwo rara,3
if they no talk about you then you are nobody keep on shining dear na your fault say your papa get money ni same hatred for davido na una fault say una papa get money fuck all the haters love you both till death,2
swipe brave soul skinny jeans price n̶ ️ color blue size win lin dm to order shakarashop online shop wen sabi you sef go dey do shakara warri nigeria,2
allah yaqa imani,0
ụbọchị ụka ọma ️ndị be anyị,1
wọ́n ní bí a bá ṣeni lóore ọpẹ́ là ńdá arábìnrin ṣẹwà ọ̀gáà mi ẹ ṣeun fún ẹ̀bun bàtà tí ẹ fi ṣọwọ́ ìlọ́po ire ni ẹ óò rí mo dúpẹ́,3
nengi you be better pikini love thé wey u dey follow you nd néo to the bank abeg congratulations inadvance,2
allah gafarta masa isa aljannah ce makomarsa,0
èdùmàrè gbére ajé olókun kò mí lóòwúrọ̀ tòní owó tabua àbùbùtán owó tútù tí í dẹ́rù ba àgbàná ni kí o fi ṣe tèmi,3
zaayi fira da hod kenan im not going to miss this insaha allah,0
ka ụbọchị taa mara anyị nma,1
lmfaooo guy do take another break if na soi be good person and god nor dey ever loseguard mesteady blast package nai e dey gimme,2
mo kí gbogbo bàbábàbá ti ayájọ́ àná o à ó máa ríi yín bá o àgbà ò ní tán nlú o,3
gbedu wen dey burst brain na today o,2
abeg na beg i dey feed me,2
chukwu neme mma igwe igwe ️,1
lekanremilekunamos happy birthday odidi omo ilaje lekan remilekun amos aka omodafidi yorùbátv ẹgbẹ ọmọ olúwa bí gbogbo àgbáyé ojú òpó ìkànsíraẹni yoruba tv,3
it seems there is a reconfirmation process ongoing abeg na d tagging i dey look for cos ur products are so thanks for the tagging,2
nne uche gi no there,1
but this na my hustlekindly retweet if this makes it to your tld printing️️ contact messi super falcons qatar,2
them wan dey sub me for here love wahala for who their loml no be chef,2
ìfọ̀rọ̀wérọ̀ ni èdè yorùbá dùn yéye,3
jisie ike nwanne nmadu,1
nítorípé ònìí ni ọjọ́ àìkú a ò ní kú ikú di ti olódì àwa ti gbékú dè a ò kú mọ́ a ò ní gbọ́kú elédùmarè,3
to ni dai ba abin da zance kawai dai sai dai muce allah y shirya amma wannan ba kuskure bne har kin manta cewa manzo s w a yace duk macen da tabar wani wanda ba muharramin ta ba ya jikin ta to allah ya tsine mata albarka,0
congratulations to on new ep more to come man what a talent dey discover talent sha to sing don dey hungry me now ooo,2
super falcons don start abeg o world cup na june pls show us una real face,2
sabida wajen saidashi ake haduwa da daddare bayan an dawo kasuwa a yi hira sey kuma a saya ayi tsara ba wa amarya idan zaa koma gida,0
my favourite kannywood,0
