tweet,label
ah su rahama za axha madara sa lemu fah mudai deja mn muna tchikin sa alhmdllh allah ya karbi ibadumu yakuma yafe mana kurakurai ameen barka da charuwa ️,0
tohh allah shi taimaka,0
allah ubangiji yakara maka lapia da tsawon rayuwa ya sheikh ya maulana,0
wannan shine gaskiyar lamari domin siyasar nigeria sai mai hankali zai zabi atiku wllh,0
alhamdulillah allah tabbatar dan isar maulatii sayyada fadeemah alaihas salatu wassalam,0
kaeee dis one is too much burgewa wallahi,0
hhhhhhhhhh masha allah haka akiso ai yana da wani amfani dama,0
allah ya sa qarshen abin kenan,0
gaskiya duk wanda ya kalli hotunan da labarun su yakamata yace alhamdullilah saboda duniya yanz ba a fada a kwance take,0
my governor where are you muma fah munaso,0
uhmmm allah allah ne lokaci baqone rana da lokaci sunanan zuwa koubajima kou badade koumuna raye koubama raye zamubada rayuwarmu muuuuu domin addininmu zamukare martavan addininmu dayardan aubangijin adalci,0
allah sauwake irin wannan masifar,0
buqatan maji haji sallah,0
zango zango sannu da kokari,0
lolz duk inda ta kwana sha ne thts very right,0
wahya fa sai heqi kike qarawa yasin,0
allah yakaro shekaru masu albarka amin yaa hayyu yaa qayyum,0
allah ya sare na gabaya ku ma yaye mana wan nan cuta baki daya dake fadin duniya amin,0
wlh karma subata lokacinsu bazai sauraresu ba indai yariga yasa ransa zai yi abu to game over kawai allah yai musu chanji da abinda yafi alkhairy ameen,0
masha allah muma saudia ne suka jaza mana barka da sallah jamaar kasar niger,0
ashe akwae mata masu basira bayan na girki,0
masha allah akwae gwarama pha,0
rahama yan mata,0
allah y vashii saa sbd wnn duk sharrin maqiiyanshii neh da kuma tugguhuvangijii allah yah qetarar dashii daga kukan yan hassada da makirceh nah maqiiyah arewacin nigeria,0
addua zan masa allah ubangiji ya kareshi daga dukkan sharriya kara masa lafiya da nisan kwana ya karfafeshiya kawar da idon maqiya akansa da mahassadaya karo mana irinsa a nigeria and,0
da kyau amma ayi masu wata dabara yanda zasu gudanar da harkan neman iliminsu tunda su ba masu gata bane ba dan allah,0
gaskiya ya taka rawar gani,0
allah yah taimaka,0
masha allah inason wakar domin ana gugar zana sosai a wakar,0
allah yasa kada haka tafaru,0
garinmu garin dadi wasu ma suyi zaman lafiya ne yakawo,0
kai kalli mutanen arewa abun farin ciki yasamu amma kalli like yayi karanci amma da abun sukan shugaban kasa daga likes dayawato allah yasaka da alheri shugaba buhari,0
daidai kenan muna bayan pantami me naira da dollars,0
allah dai yasa ba rakaa yace zasuyi ba,0
congratulations ramatu no offense allah sama karatun albarka,0
amma ai gaskiya ta faɗa,0
wakar na tsaya ga annabi muhammadu saw allah ya jiqansa,0
nuhu abdullahi shiya dace da ita arayina nagode,0
ameen may aljanna be their final abode,0
is good muna goyan bayanta dari bisa dari,0
